JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
CSD 18 Brooklyn,19,14,0.74,5,0.26,0,0,19,100,0,2,0.11,0,0,1,0.05,3,0.16,11,0.58,2,0.11,0,0,19,100,2,0.11,17,0.89,0,0,0,0,19,100,1,0.05,18,0.95,0,0,19,100
CSD 19 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 20 Brooklyn,305,234,0.77,71,0.23,0,0,305,100,0,1,0,0,0,6,0.02,289,0.95,0,0,8,0.03,1,0,305,100,6,0.02,298,0.98,1,0,0,0,305,100,158,0.52,147,0.48,0,0,305,100
CSD 21 Brooklyn,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100
CSD 22 Brooklyn,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0,0,0,228,100,30,0.13,198,0.87,0,0,228,100
CSD 23 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 24 Queens,2,1,0.5,1,0.5,0,0,2,100,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2,100
CSD 25 Queens,2,1,0.5,1,0.5,0,0,2,100,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,0,0,2,100,0,0,2,1,0,0,2,100
CSD 26 Queens,2,0,0,2,1,0,0,2,100,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,2,100,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,2,100
CSD 27 Queens,40,13,0.33,27,0.68,0,0,40,100,0,1,0.03,0,0,0,0,37,0.93,1,0.03,1,0.03,0,0,40,100,0,0,40,1,0,0,0,0,40,100,5,0.13,35,0.88,0,0,40,100
CSD 28 Queens,26,15,0.58,11,0.42,0,0,26,100,0,3,0.12,0,0,1,0.04,14,0.54,6,0.23,1,0.04,1,0.04,26,100,1,0.04,25,0.96,0,0,0,0,26,100,7,0.27,19,0.73,0,0,26,100
CSD 29 Queens,4,1,0.25,3,0.75,0,0,4,100,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,0,0,4,100,0,0,4,1,0,0,4,100
CSD 30 Queens,6,4,0.67,2,0.33,0,0,6,100,0,5,0.83,0,0,0,0,1,0.17,0,0,0,0,0,0,6,100,1,0.17,5,0.83,0,0,0,0,6,100,1,0.17,5,0.83,0,0,6,100
CSD 31 Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 32 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
