DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 PROGRESS GRADE,2009-2010 ADDITIONAL CREDIT,2008-09 PROGRESS REPORT GRADE
02M296,2,High School of Hospitality Management,Matthew Corallo,HS,High School,2.28,A,85.3,10.2,B,20.7,A,52.9,A,1.5,A
02M298,2,Pace High School,Larry Gabbard,HS,High School,2.82,A,90.9,10.2,B,21.5,A,47.2,A,12,A
02M300,2,"Urban Assembly School of Design and Construction, The",Mathew Willoughby,HS,High School,2.5,B,66.7,10.8,A,16.2,B,38.2,B,1.5,A
02M303,2,"Facing History School, The",Gillian Smith,HS,High School,2.16,B,64.5,10.6,A,15.4,B,34,C,4.5,A
02M305,2,"Urban Assembly Academy of Government and Law, The",David Glasner,HS,High School,2.52,B,58.3,8.3,C,15.9,B,34.1,C,0,B
02M308,2,Lower Manhattan Arts Academy,John Wenk,HS,High School,2.22,A,86.2,10.7,A,17.7,A,51.8,A,6,A
02M312,2,New York City Lab Middle School for Collaborative Studies,Megan Adams,EMS,Middle,3.64,A,77,10.7,A,18.5,A,40.5,A,7.3,A
02M313,2,"James Baldwin School, The: A School for Expeditionary Learning",Elijah Hawkes,HST,High School Transfer,2.36,D,43.5,10.4,A,8.4,F,24.7,D,0,B
02M316,2,"Urban Assembly School of Business for Young Women, the",Patricia Minaya,HS,High School,2.34,B,62.8,10.1,B,17.4,B,35.3,B,0,A
02M347,2,The 47 American Sign Language & English Lower School,David Bowell,EMS,K-8,64.27,B,49.2,10.3,A,4.9,D,32.5,B,1.5,A
02M374,2,Gramercy Arts High School,Denise Dicarlo,HS,High School,2.58,B,63.7,6.4,D,17,B,37.3,B,3,
02M376,2,NYC iSchool,Alisa Berger/Mary Moss,HS,High School,3.33,,,,,,,,,,
02M392,2,MANHATTAN BUSINESS ACADEMY,Karen Polsonetti,HS,High School,2.74,,,,,,,,,,
02M393,2,BUSINESS OF SPORTS SCHOOL,Joshua Solomon,HS,High School,2.45,,,,,,,,,,
02M394,2,EMMA LAZARUS HIGH SCHOOL,Melody Kellogg,HST,High School Transfer,2.5,,,,,,,,,,
02M399,2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Santiago Mayol,HS,High School,2.65,,,,,,,,,,
02M400,2,High School for Environmental Studies,Shirley H. Matthews,HS,High School,2.78,B,65.4,8.1,C,17.1,B,34.2,C,6,B
02M407,2,Institute for Collaborative Education,John Pettinato,HS,High School,2.68,B,62.4,12.6,A,9.4,F,40.4,B,0,A
02M407,2,Institute for Collaborative Education,John Pettinato,EMS,Middle,3.52,C,11,11,A,0,F,0,F,0,B
02M408,2,Professional Performing Arts High School,Keith Ryan,HS,High School,3.25,A,71.6,9.3,B,19.6,A,42.7,A,0,A
02M408,2,Professional Performing Arts High School,Keith Ryan,EMS,Middle,3.64,A,62.4,7.1,B,17.1,A,38.2,A,0,B
02M411,2,Baruch College Campus High School,Alicia Perez-Katz,HS,High School,3.45,A,74.5,10,B,20,A,44.5,A,0,A
02M412,2,N.Y.C. Lab School for Collaborative Studies,Brooke Jackson,HS,High School,3.22,A,74.9,9.3,B,25,A,37.6,B,3,A
02M413,2,School of the Future High School,Stacy Paige Goldstein,HS,High School,2.85,A,76.5,10.4,B,19.4,A,40.7,B,6,A
02M413,2,School of the Future High School,Stacy Paige Goldstein,EMS,Middle,3.2,B,45,7.8,B,12.8,B,20.1,C,4.3,A
02M414,2,N.Y.C. Museum School,Darlene Miller,HS,High School,2.97,A,81.8,6.1,D,20.9,A,48.8,A,6,A
02M416,2,Eleanor Roosevelt High School,Dimitri Saliani,HS,High School,3.6,A,80.7,11.5,A,22.3,A,46.9,A,0,A
02M418,2,Millennium High School,Robert Rhodes,HS,High School,3.34,A,76.9,11.9,A,19.2,A,42.8,A,3,A
02M419,2,Landmark High School,Trevor Naidoo,HS,High School,2.24,C,54,8.1,C,12.4,C,27.5,D,6,C
02M420,2,High School for Health Professions and Human Services,Robert Gentile,HS,High School,2.93,C,49.1,8.3,C,15.4,B,25.4,D,0,C
02M422,2,Quest to Learn,Elisa Aragon,EMS,Middle,2.98,,,,,,,,,,
02M425,2,Leadership and Public Service High School,Lawrence Pendergast,HS,High School,2.38,B,58.1,8.2,C,11.8,C,33.6,C,4.5,C
02M429,2,Legacy School for Integrated Studies,Gregory Rodrigues,HS,High School,1.94,C,51,8,C,7.5,F,35.5,B,0,D
02M439,2,Manhattan Village Academy,Hector Geager,HS,High School,3,A,96.6,12.9,A,20,A,57.7,A,6,A
02M440,2,Bayard Rustin Educational Complex,Nancy Amling,HS,High School,,,,,,,,,,,
02M442,2,"Ballet Tech, NYC Public School for Dance",Roy Oneill,EMS,K-8,31.38,C,34.3,11.5,A,12.7,B,10.1,F,0,A
02M449,2,Vanguard High School,Louis Delgado,HS,High School,2.29,C,53.7,11.6,A,11.3,D,29.3,C,1.5,A
02M459,2,Manhattan International High School,Alan Krull,HS,High School,2.52,A,70.8,13.5,A,14.5,B,42.8,A,0,A
02M460,2,Washington Irving High School,Bernardo Ascona,HS,High School,2.18,C,51.6,8.4,C,7.9,F,32.3,C,3,C
02M473,2,Washington Irving YABC,Roger Bradley,YABC,YABC,,B,64.2,10.4,B,11.7,C,34.6,B,7.5,
02M475,2,Stuyvesant High School,Stanley Teitel,HS,High School,4.03,A,72.2,8.9,B,23.7,A,39.6,B,0,A
02M489,2,High School of Economics and Finance,Michael Stanzione,HS,High School,2.79,C,57.2,6.4,D,15.8,B,33.5,C,1.5,B
02M500,2,Unity Center for Urban Technologies,Fausto De La Rosa,HS,High School,1.95,A,89.3,12.8,A,17.9,A,57.1,A,1.5,A
02M519,2,Talent Unlimited High School,Linda Hamil,HS,High School,3.18,A,74,6.4,D,20.9,A,43.7,A,3,A
02M520,2,Murry Bergtraum High School for Business Careers,Barbara A. Esmilla,HS,High School,2.47,D,42.8,5.7,F,12.1,C,20.5,F,4.5,D
02M529,2,Jacqueline Kennedy Onassis High School,Edward Demeo,HS,High School,2.48,B,58.5,6.2,D,19.5,A,28.3,C,4.5,C
02M531,2,Repertory Company High School for Theatre Arts,Michael Mehmet Jr.,HS,High School,2.82,A,73.9,9.6,B,17.4,B,43.9,A,3,A
02M542,2,Manhattan Bridges High School,Mirza Sanchez Medina,HS,High School,2.32,A,93.9,12.3,A,20.9,A,51.7,A,9,A
02M543,2,New Design High School,Scott Conti,HS,High School,2.38,A,70.3,8.4,C,16.4,B,39.5,B,6,A
02M544,2,Independence High School,Ron Smolkin,HST,High School Transfer,2.31,C,55.3,15,A,9.2,F,31.1,C,0,C
02M545,2,High School for Dual Language and Asian Studies,Li Yan,HS,High School,3.14,A,90.5,9.4,B,25,A,53.1,A,3,A
02M550,2,Liberty High School Academy for Newcomers,Melodee Khristan,HST,High School Transfer,2.29,A,72.4,7.6,C,16.6,B,43.7,A,4.5,A
02M551,2,New York Harbor School,Nathan Dudley,HS,High School,2.2,A,80.1,9.9,B,18.4,A,44.3,A,7.5,A
02M560,2,High School M560 - City As School,Antoniette Scarpinato,HST,High School Transfer,2.56,B,63.5,8.3,C,15.9,B,31.8,C,7.5,B
02M565,2,Urban Academy Laboratory High School,Herb Mack,HST,High School Transfer,2.99,A,73.2,15,A,19.7,A,38.5,B,0,A
02M570,2,Satellite Academy High School,Steven Zbaida,HST,High School Transfer,2.36,F,32.2,5.4,F,10.1,D,13.7,F,3,C
02M575,2,Manhattan Comprehensive Night and Day High School,Michael Toise,HST,High School Transfer,2.44,A,79.5,12.5,A,15,B,40,B,12,A
02M580,2,Richard R. Green High School of Teaching,David Raubvogel,HS,High School,2.43,C,50.7,10.4,B,12.6,C,26.2,D,1.5,B
02M586,2,Harvey Milk High School,Alan Nolan,HST,High School Transfer,2,A,68.8,5.9,D,15.4,B,44.5,A,3,B
02M600,2,The High School of Fashion Industries,Hilda Nieto,HS,High School,2.74,A,92.4,7.5,C,21.7,A,48.2,A,15,A
02M605,2,Humanities Preparatory Academy,Julie Conason,HST,High School Transfer,2.73,B,58.8,6.2,D,14.3,B,36.8,B,1.5,B
02M615,2,Chelsea Career and Technical Education High School,Brian Rosenbloom,HS,High School,2.4,C,55.8,6.1,D,7.2,F,38,B,4.5,C
02M620,2,Norman Thomas High School,Philip Martin Jr,HS,High School,2.2,F,36,4.3,F,8.4,F,23.3,F,1.5,D
02M625,2,High School of Graphic Communication Arts,Jerod Resnick,HS,High School,2.24,D,41.5,6.6,D,5.6,F,29.3,C,0,C
02M630,2,Art and Design High School,Eric Strauss,HS,High School,2.83,B,61.8,5.4,F,13.1,C,35.8,B,7.5,B
02M655,2,Life Sciences Secondary School,Genevieve Stanislaus,HS,High School,2.26,A,72.2,6.7,D,21.6,A,37.9,B,6,B
02M655,2,Life Sciences Secondary School,Genevieve Stanislaus,EMS,Middle,2.59,C,32.8,4.3,D,4.6,D,23.1,C,0.8,B
02M690,2,School for the Physical City High School,Junior Miller,HS,High School,,,,,,,,,,,
02M896,2,Lower Manhattan Community Middle School,Kelly Mcguire,EMS,Middle,2.41,C,40.4,8.6,B,11.5,B,17.5,D,2.8,A
03M009,3,P.S. 009 Sarah Anderson,Diane Brady,EMS,Elementary,20.05,B,57.7,10.7,A,15.4,A,29.6,B,2,A
03M044,3,J.H.S. M044 William J. O'Shea,Liza Ortiz,EMS,Middle,,,,,,,,,,,
03M054,3,J.H.S. 054 Booker T. Washington,Elana Elster,EMS,Middle,3.45,B,61.9,7.9,B,14,B,34.2,B,5.8,A
03M075,3,P.S. 075 Emily Dickinson,Robert O'brien,EMS,Elementary,47.63,C,33.5,4.8,C,4.1,D,24.6,B,0,A
03M076,3,P.S. 076 A. Philip Randolph,Charles Deberry,EMS,Elementary,58.84,C,27.1,3.9,D,0,F,22.7,C,0.5,A
03M084,3,P.S. 084 Lillian Weber,Robin Sundick,EMS,Elementary,43.87,C,23.3,3.5,D,0,F,19.8,C,0,A
03M087,3,P.S. 087 William Sherman,Monica Berry,EMS,Elementary,18.92,B,41.5,4.3,C,8.4,C,26,B,2.8,A
03M145,3,"P.S. 145, The Bloomingdale School",Ivelisse Alvarez,EMS,Elementary,59.05,B,47.6,3.1,D,4.3,D,35.4,A,4.8,A
03M149,3,P.S. 149 Sojourner Truth,Kayrol Burgess Harper,EMS,K-8,59.72,B,45.2,7.1,B,4.5,D,32.3,B,1.3,A
03M163,3,P.S. 163 Alfred E. Smith,Virginia Pepe,EMS,Elementary,41.28,C,39.2,8,B,9,C,22.2,C,0,A
03M165,3,P.S. 165 Robert E. Simon,Pedro De La Cruz,EMS,K-8,57.47,B,43.8,7.7,B,4.3,D,29.8,B,2,A
03M166,3,P.S. 166 The Richard Rodgers School of The Arts and Technology,Debbie J. Hand,EMS,Elementary,25.24,D,19.8,6.5,B,3.2,D,10.1,F,0,B
03M180,3,P.S. 180 Hugo Newman,Peter Mcfarlane,EMS,K-8,55.03,C,40.4,11.9,A,8.9,C,15.3,D,4.3,A
03M185,3,P.S. 185 John M. Langston,Jane Murphy,EC,K-2,59.62,C,20.7,9.2,A,2.9,F,5.6,F,3,
03M191,3,P.S. 191 Amsterdam,Maria Verdesoto,EMS,K-8,53.96,C,34.3,5.4,C,2.6,F,23.5,C,2.8,A
03M199,3,P.S. 199 Jessie Isador Straus,Katy Rosen,EMS,Elementary,12.19,A,67,7.5,B,10.7,B,44.5,A,4.3,A
03M208,3,P.S. 208 Alain L. Locke,Susan M. Green,EMS,Elementary,61.71,C,36.7,9.4,A,3.1,D,22.7,C,1.5,A
03M241,3,P.S. 241 Family Academy,Diana Diaz,EMS,K-8,62.42,C,37,7,B,2.2,F,24.8,B,3,A
03M242,3,P.S. M242 - Gwendolyn Powell Brown Computer School,Denise Gomez,EMS,Elementary,57.47,C,27.9,5.5,C,1.1,F,21.3,C,0,A
03M243,3,M.S. 243 Center School,Elaine Schwartz,EMS,Middle,3.64,B,50,13.8,A,14.4,B,21.8,C,0,A
03M245,3,M.S. M245 The Computer School,Henry Zymeck,EMS,Middle,3.24,B,43.8,12.1,A,8.7,C,21,C,2,A
03M246,3,M.S. M246 Crossroads School,Gary Harris Eisinger,EMS,Middle,,,,,,,,,,,
03M247,3,M.S. M247 Dual Language Middle School,Claudia Aguirre,EMS,Middle,2.4,A,76.3,13.7,A,12.6,B,41.5,A,8.5,A
03M250,3,M.S. 250 West Side Collaborative Middle School,Jeanne Rotunda,EMS,Middle,2.38,A,71.4,15,A,11.9,B,37.5,A,7,A
03M256,3,M.S. 256 Academic & Athletic Excellence,Jeffrey S. Perl,EMS,Middle,2.03,C,32.6,7.1,B,4.6,D,20.1,C,0.8,A
03M258,3,Community Action School - MS 258,John Curry,EMS,Middle,2.43,A,64,10.9,A,11.9,B,37.2,A,4,A
03M283,3,Manhattan Theatre Lab High School,Evelyn Collins,HS,High School,2.21,C,48,6.8,D,8.6,F,29.6,C,3,B
03M299,3,"High School for Arts, Imagination and Inquiry",Stephen Noonan,HS,High School,2.15,B,67.6,8,C,20.4,A,33.2,C,6,B
03M307,3,"Urban Assembly School for Media Studies, The",Cordelia Veve,HS,High School,2.19,A,74.1,9.4,B,15.1,B,42.1,A,7.5,C
03M333,3,P.S. 333 Manhattan School for Children,Susan Rappaport,EMS,K-8,24.69,C,27.9,7.5,B,2.2,F,16.2,D,2,B
03M334,3,The Anderson School,Jodi Hyde,EMS,K-8,6.5,A,91,13.4,A,24.8,A,52.8,A,0,A
03M402,3,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,Alexandra Rathmann-Noonan,HS,High School,2.21,,,,,,,,,,
03M403,3,THE GLOBAL LEARNING COLLABORATIVE,Jennifer Zinn,HS,High School,2.24,,,,,,,,,,
03M404,3,INNOVATION DIPLOMA PLUS,Casey Jones,HST,High School Transfer,2.38,,,,,,,,,,
03M415,3,Wadleigh Secondary School for the Performing & Visual Arts,Herma Hall,HS,High School,2.08,B,60,5,F,20.1,A,31.9,C,3,A
03M415,3,Wadleigh Secondary School for the Performing & Visual Arts,Herma Hall,EMS,Middle,2.41,C,39.4,2.4,F,7.7,C,27.8,B,1.5,A
03M421,3,WEST PREP ACADEMY,Emily Noto,EMS,Middle,2.29,,,,,,,,,,
03M470,3,Louis D. Brandeis High School,Dr. Eloise Messineo,HS,High School,,,,,,,,,,,
03M479,3,Beacon High School,Ruth Lacey,HS,High School,3.51,A,74.5,9.3,B,13.7,C,48.5,A,3,A
03M485,3,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Kim Bruno,HS,High School,3.64,A,79,7.4,C,23.1,A,48.5,A,0,A
03M492,3,"High School for Law, Advocacy and Community Justice",Miriam Nightengale,HS,High School,2.33,A,85.7,8.5,C,17.1,B,46.6,A,13.5,A
03M494,3,High School of Arts and Technology,Anne Geiger,HS,High School,2.34,B,62.2,6.8,D,14.5,B,39.4,B,1.5,A
03M505,3,Edward A. Reynolds West Side High School,Jean Mctavish,HST,High School Transfer,1.94,B,56.4,8.2,C,13.2,C,32,C,3,B
03M541,3,Manhattan / Hunter Science High School,Susan Kreisman,HS,High School,3.26,B,61.4,11.2,A,18.3,A,31.9,C,0,A
03M577,3,Brandeis YABC,,YABC,YABC,,C,49,2,F,17.8,B,26.2,C,3,
03M859,3,Special Music School,Katherine Banucci Smith,EMS,K-8,8,A,75.3,6.5,B,22.5,A,46.3,A,0,
03M860,3,Frederick Douglass Academy II Secondary School,Latasha Greer,HS,High School,2.28,C,54.1,7.9,C,18.9,A,27.3,D,0,C
03M860,3,Frederick Douglass Academy II Secondary School,Latasha Greer,EMS,Middle,2.35,C,15.5,3.2,D,4.5,D,7.8,F,0,A
03M862,3,Mott Hall II,Ana De Los Santos,EMS,Middle,3.07,A,66.7,9.9,A,14.5,B,37.5,A,4.8,A
04M007,4,P.S. 007 Samuel Stern,Racquel Jones,EMS,K-8,58.46,A,61.4,7.7,B,7.2,C,42.7,A,3.8,A
04M012,4,Tag Young Scholars,Janette Cesar,EMS,K-8,39.33,A,58.9,9.8,A,20.1,A,29,B,0,A
04M013,4,J.H.S. 013 Jackie Robinson,Jacob Michelman,EMS,Middle,2.13,C,22.7,4.1,D,4.4,D,13.2,D,1,A
04M037,4,River East Elementary,Alison Mckenzie,EMS,Elementary,61.02,B,56.2,10.1,A,7.6,C,36.7,A,1.8,A
04M038,4,P.S. 38 Roberto Clemente,Norma Caraballo,EMS,Elementary,63.08,C,29.9,4.6,C,2.6,D,22.2,C,0.5,A
04M045,4,M.S. 45/S.T.A.R.S. Prep Academy,Maria Aviles,EMS,Middle,2.19,C,35.2,6.6,B,3.6,F,24,C,1,B
04M050,4,P.S. 050 Vito Marcantonio,Rebekah Mitchell,EMS,K-8,63.78,C,27.9,5.1,C,3.6,D,17.4,D,1.8,A
04M057,4,James Weldon Johnson,Israel Soto,EMS,K-8,62.56,A,74.5,14.3,A,15,A,35.7,A,9.5,A
04M072,4,The Lexington Academy,Antonio Hernandez,EMS,Elementary,65.94,A,58.6,12.1,A,8.8,C,32.2,B,5.5,A
04M083,4,P.S. 083 Luis Munoz Rivera,Frances Castillo,EMS,Elementary,59.17,A,84.1,11.4,A,20,A,51.2,A,1.5,A
