DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2010-2011 OVERALL GRADE,2010-2011 OVERALL SCORE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,2010-2011 PERFORMANCE GRADE,2010-2011 PROGRESS CATEGORY SCORE,2010-2011 PROGRESS GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
05M302,5,KAPPA IV,Briony Carr,EMS,Middle,2.3,A ,59.6,10.3,A ,10.6,B ,34.7,B ,4,B
05M317,5,Kappa II,Sean Dunning,EMS,Middle,1.6,,,,,,,,,,D
05M318,5,Thurgood Marshall Academy Lower School,Sean Davenport,EMS,Elementary,48.73,B ,52.8,8,B ,9.1,C ,34.7,A ,1,C
05M344,5,Academy of Collaborative Education,Rashaunda Shaw,EMS,Middle,1.94,,,,,,,,,,F
05M362,5,Columbia Secondary School,Gary Biester,EMS,Middle,3.87,A ,60,7,B ,18,A ,35,A ,0,C
05M367,5,Academy for Social Action: A College Board School,Rhokeisha Ford,EMS,Middle,1.98,D ,17.7,3.2,D ,6.2,D ,7.8,F ,0.5,B
05M410,5,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,Travis Brown,EMS,Middle,1.96,B ,45.9,6.4,B ,7.2,C ,31.3,B ,1,
05M469,5,Choir Academy of Harlem,Dr. A. Ellen Parris,EMS,Middle,2.22,B ,51.8,7.4,B ,7.1,C ,34.3,B ,3,C
05M499,5,Frederick Douglass Academy,Gregory Hodge,EMS,Middle,2.78,B ,47.6,3.3,D ,9.3,C ,28,B ,7,C
05M670,5,Thurgood Marshall Academy for Learning and Social,Sandye Johnson,EMS,Middle,2.72,D ,17,8.2,B ,5.8,D ,2,F ,1,D
06M004,6,P.S. 004 Duke Ellington,Delois White,EMS,Elementary,64.66,B ,50,7.5,B ,5.3,D ,33.2,B ,4,B
06M005,6,P.S. 005 Ellen Lurie,Wanda Soto,EMS,Elementary,65.62,C ,39.5,7.1,B ,6.5,C ,24.4,B ,1.5,B
06M008,6,P.S. 008 Luis Belliard,Rafaela Landin,EMS,Elementary,67.11,B ,50.6,10.8,A ,8.5,C ,30.8,B ,0.5,A
06M018,6,P.S. 018 Park Terrace,Connie Mejia,EMS,K-8,63.95,A ,57.1,11.8,A ,7.9,C ,32.9,B ,4.5,B
06M028,6,P.S. 028 Wright Brothers,Elsa Nunez,EMS,Elementary,64.68,B ,52.5,9.9,A ,7.2,C ,30.9,B ,4.5,A
06M048,6,P.S. 048 P.O. Michael J. Buczek,Tracy Walsh,EMS,Elementary,66.13,A ,74,9.5,A ,10.6,B ,44.4,A ,9.5,B
06M052,6,J.H.S. 052 Inwood,Salvador Fernandez,EMS,Middle,2.28,B ,48.8,11.8,A ,6.9,C ,28.6,B ,1.5,A
06M098,6,P.S. 098 Shorac Kappock,Maritza Rodriguez,EMS,Elementary,67.12,C ,34.6,6.4,B ,5.7,D ,20.9,C ,1.5,B
06M115,6,P.S. 115 Alexander Humboldt,Angela Rodriguez,EMS,Elementary,67.63,C ,29,4.7,C ,5.3,D ,19,C ,0,C
06M128,6,P.S. 128 Audubon,Rosa Argelia Arredondo,EMS,Elementary,65.39,B ,43,8.7,A ,6.4,C ,23.3,C ,4.5,B
06M132,6,P.S. 132 Juan Pablo Duarte,Xiomara Nova,EMS,Elementary,66.98,D ,22.8,7.9,B ,4.4,D ,8,F ,2.5,B
06M143,6,J.H.S. 143 Eleanor Roosevelt,Ourania Pappas,EMS,Middle,2.03,B ,53.2,7.6,B ,7.3,C ,34.7,B ,3.5,B
06M152,6,P.S. 152 Dyckman Valley,Julia Pietri,EMS,Elementary,63.62,C ,31.3,3,D ,7.3,C ,21,C ,0,B
06M153,6,P.S. 153 Adam Clayton Powell,Karen Bailey,EMS,Elementary,63.7,A ,68.2,9.6,A ,12.4,B ,40.1,A ,6,A
06M173,6,P.S. 173,Dawn Boursiquot,EMS,Elementary,60.09,B ,51.8,4.6,C ,8.2,C ,35,A ,4,B
06M178,6,Professor Juan Bosch Public School,Deirdre Budd,EC,K-2,52.68,B ,29.9,10.9,A ,4.5,C ,8.5,C ,6,B
06M187,6,P.S./I.S. 187 Hudson Cliffs,Ms. Cynthia Chory,EMS,K-8,41.43,B ,47.6,7.3,B ,10.2,C ,28.6,B ,1.5,A
06M189,6,P.S. 189,Theresa Luger,EMS,Elementary,66.29,A ,57.8,8.9,A ,9.9,C ,33,B ,6,A
06M192,6,P.S. 192 Jacob H. Schiff,Deborah Schaefer,EMS,Elementary,65.71,B ,46.1,10.2,A ,6.5,C ,27.4,B ,2,C
06M210,6,P.S./I.S. 210 - Twenty-first Century Academy for,Evelyn Linares,EMS,K-8,64.56,C ,32.1,11.9,A ,8.8,C ,10.9,D ,0.5,B
06M218,6,I.S. 218 Salome Urena,June Barnett,EMS,Middle,2.02,C ,40.1,6.5,B ,6,D ,25.1,B ,2.5,B
06M223,6,The Mott Hall School,Cynthia Arndt,EMS,Middle,3.58,B ,57.6,7.9,B ,17,A ,32.7,B ,0,A
06M278,6,Paula Hedbavny School,Maureen Guido,EMS,K-8,53.87,A ,73.4,8.8,A ,10.8,B ,44.2,A ,9.5,B
06M293,6,City College Academy of the Arts,Bernadette Drysdale,EMS,Middle,2.48,A ,76.7,11.4,A ,14.3,B ,41.5,A ,9.5,A
06M311,6,Amistad Dual Language School,Miriam Pedraja,EMS,K-8,51.87,A ,60.3,11.6,A ,12.1,B ,32.1,B ,4.5,A
